Venus 1                                                                         
           2         117
CO2  
H2O  
    74.000 0.15696E-01  223.00  0.4989E+23  0.5170E+17
    75.000 0.13031E-01  220.00  0.4193E+23  0.4345E+17
    75.500 0.11698E-01  218.50  0.3795E+23  0.3932E+17
    76.000 0.10365E-01  217.00  0.3397E+23  0.3520E+17
    77.000 0.85931E-02  214.00  0.2842E+23  0.2945E+17
    78.000 0.68213E-02  211.00  0.2287E+23  0.2370E+17
    79.000 0.56169E-02  207.00  0.1912E+23  0.1982E+17
    80.000 0.44126E-02  203.00  0.1538E+23  0.1594E+17
    82.000 0.28036E-02  194.00  0.1023E+23  0.1060E+17
    84.000 0.17374E-02  184.00  0.6687E+22  0.6930E+16
    86.000 0.10563E-02  176.00  0.4240E+22  0.4394E+16
    88.000 0.62883E-03  171.00  0.2608E+22  0.2703E+16
    90.000 0.36920E-03  167.00  0.1565E+22  0.1622E+16
    92.000 0.21422E-03  164.00  0.9228E+21  0.9563E+15
    94.000 0.12340E-03  162.00  0.5377E+21  0.5572E+15
    96.000 0.70977E-04  162.00  0.3090E+21  0.3202E+15
    98.000 0.40967E-04  163.00  0.1766E+21  0.1830E+15
   100.000 0.23889E-04  170.00  0.9901E+20  0.1026E+15
   102.000 0.14146E-04  165.00  0.6070E+20  0.6290E+14
   104.000 0.83712E-05  160.00  0.3705E+20  0.3839E+14
   106.000 0.47236E-05  155.00  0.2158E+20  0.2236E+14
   108.000 0.26654E-05  150.00  0.1258E+20  0.1304E+14
   110.000 0.14462E-05  145.00  0.7062E+19  0.7318E+13
   112.000 0.78480E-06  140.00  0.3969E+19  0.4113E+13
   116.000 0.21224E-06  129.00  0.1165E+19  0.1207E+13
   120.000 0.51037E-07  117.00  0.3088E+18  0.3200E+12
   124.000 0.12142E-07  125.00  0.6878E+17  0.7127E+11
   128.000 0.32577E-08  135.00  0.1708E+17  0.1770E+11
   132.000 0.97828E-09  142.00  0.4878E+16  0.5055E+10
   136.000 0.32577E-09  146.00  0.1580E+16  0.1637E+10
   140.000 0.12438E-09  147.00  0.5991E+15  0.6208E+09
   144.000 0.55775E-10  140.00  0.2821E+15  0.2923E+09
   148.000 0.27937E-10  134.00  0.1476E+15  0.1530E+09
